Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
N4A,N4A,99.196,245.118,2024/3/12,PP,2024,N04A,
N4C,N4C,.,.,2024/3/12,PP,2024,N04C,west 1/2
WN2A,.,8.9,22,2024/3/12,PP,2024,WN02A,Strip west of N2A
WN4A,.,5.3,13,2024/3/12,PP,2024,WN04A,Strip west of N4A
C3SC,SC,127.02,313.873,2024/3/13,PP,2024,C3SC,
C1SB,Texas Hog Pasture,76.36,188.69,2024/3/15,PP,2024,C1SB,
N1A,N1A,33.83,83.596,2024/3/15,PP,2024,N01ANE,NEN1A
N1B,N1B,120.683,298.214,2024/3/19,PP,2024,N01B,
N20B,N20B,84.364,208.467,2024/3/19,PP,2024,N20B,
Nature Trail,Nature Trail,72.84,180,2024/3/30,PP,2024,NATR,
Nature Trail - North Hill,Nature Trail,33.076,81.732,2024/3/30,PP,2024,NATR,Nature trail area north of K1A
HQE,HQE,8.094,20,2024/4/5,PP,2024,0HQE,
K20A,K20A,83.13,205.418,2024/4/9,PP,2024,K20A,
K2A,K2A,66.1,163.336,2024/4/9,PP,2024,K02A,
1D,1D,41.55,102.67,2024/4/10,PP,2024,001D,
Belowground Plots,Belowground Plots,1.45,3.58,2024/4/10,PP,2024,LTERBG,
HQC,HQC,17.483,43.201,2024/4/10,PP,2024,0HQC,
K1B,K1B/K4B,181.26,447.9,2024/4/10,PP,2024,K01B,
1B,1B/WA,35.89,88.69,2024/4/12,PP,2024,001B,
2A,2A,28.3,69.94,2024/4/12,PP,2024,002A,
2B,2B/10B,14.4,35.59,2024/4/12,PP,2024,002B,
R1A,20A/3B3UA,48.66,120.241,2024/4/12,PP,2024,R01A,
SPA,4C/10A,33.402,82.539,2024/4/12,PP,2024,0SpA,
SPB,4D/WB,35.74,88.31,2024/4/12,PP,2024,0SPB,
ALE,Brome field N of K4A,35.38,87.42,2024/4/17,PP,2024,0ALE,
HQA,HQA,12.28,30.344,2024/4/17,PP,2024,0HQA,
HQB,HQB,14.92,36.868,2024/4/17,PP,2024,0HQB,
Hulbert Restoration,HQ Restoration Plots,5.718,14.129,2024/4/17,PP,2024,0HQR,Restored Field below Hulbert Center
Nature Trail -Restoration,Restored - NT Head,2.775,6.858,2024/4/17,PP,2024,.,
SuA,10C/3U3BC,22.86,56.488,2024/8/7,PP,2024,0SuA,
SuB,SuB,15.63,38.62,2024/8/7,PP,2024,0SuB,
N4C,N4C,.,.,2024/9/26,PP,2024,N04C,east 1/2; new fireguard split n4c 2023
FA,FA,11.089,27.401,2024/11/14,PP,2024,00FA,
FB,FB,10.631,26.27,2024/11/14,PP,2024,00FB,
WA,WA,11.62,28.72,2025/2/25,PP,2025,00WA,
WB,WB,12.33,30.46,2025/2/25,PP,2025,00WB,
C3A,C3A,48.728,120.41,2025/3/12,PP,2025,C03A,
C3B,C3B,66.59,164.547,2025/3/12,PP,2025,C03B,
C3C,C3C,102.423,253.093,2025/3/12,PP,2025,C03C,
C3SA,SA,102.076,252.235,2025/3/12,PP,2025,C3SA,
C3SB,SB,226.265,559.112,2025/3/12,PP,2025,C3SB,
C3SC,SC,127.02,313.873,2025/3/12,PP,2025,C3SC,
WN2A,.,8.9,22,2025/3/24,PP,2025,WN02A,Strip west of N2A
WN4A,.,5.3,13,2025/3/24,PP,2025,WN04A,Strip west of N4A
K1B,K1B/K4B,181.26,447.9,2025/3/25,PP,2025,K01B,
N20B,N20B,84.364,208.467,2025/3/25,PP,2025,N20B,
R1B,20D/4H,39.797,98.34,2025/3/26,PP,2025,R01B,
K4A,K4A,53.16,131.361,2025/3/27,WP,2025,K04A,
N1A,N1A,33.83,83.596,2025/3/27,WP,2025,N01ANE,NEN1A
N4B,N4B,56.775,140.293,2025/3/27,WU,2025,N04B,
Hulbert Restoration,HQ Restoration Plots,5.718,14.129,2025/3/29,PP,2025,0HQR,Restored Field below Hulbert Center
K1A,K1A,113.89,281.428,2025/3/31,PP,2025,K01A,
K20A,K20A,83.13,205.418,2025/3/31,PP,2025,K20A,
White Pasture,White Pasture,124.93,308.69,2025/4/3,PP,2025,WHIT,
C1SB,Texas Hog Pasture,76.36,188.69,2025/4/6,PP,2025,C1SB,
N1A,N1A,60.03,148.322,2025/4/7,PP,2025,N01ASW,SWN1A
N1B,N1B,120.683,298.214,2025/4/7,PP,2025,N01B,
N20A,N20A,82.98,205.048,2025/4/7,PP,2025,N20A,
N2B,N2B,118.78,293.511,2025/4/7,PP,2025,N02B,
N4D,N4D,135.45,334.704,2025/4/7,PP,2025,N04D,
ALC,AL,22,54.36,2025/4/15,PP,2025,0ALC,
ALD,Brome field S of K1,19.54,48.29,2025/4/15,PP,2025,0ALD,
ALE,Brome field N of K4A,35.38,87.42,2025/4/15,PP,2025,0ALE,
HQB,HQB,14.92,36.868,2025/4/15,PP,2025,0HQB,
HQE,HQE,8.094,20,2025/4/15,PP,2025,0HQE,
N4A,N4A,99.196,245.118,2025/4/15,WU,2025,N04A,
N4C,N4C,.,.,2025/4/15,PP,2025,N04C,west 1/2
1B,1B/WA,35.89,88.69,2025/4/21,PP,2025,001B,
1D,1D,41.55,102.67,2025/4/21,PP,2025,001D,
2C,2C,22.95,56.72,2025/4/21,PP,2025,002C,
2D,2D,48.41,119.62,2025/4/21,PP,2025,002D,
4B,4B,54.5,134.67,2025/4/21,WP,2025,004B,
Belowground Plots,Belowground Plots,1.45,3.58,2025/4/21,PP,2025,LTERBG,
HQA,HQA,12.28,30.344,2025/4/21,PP,2025,0HQA,
HQC,HQC,17.483,43.201,2025/4/21,PP,2025,0HQC,
R1A,20A/3B3UA,48.66,120.241,2025/4/21,PP,2025,R01A,
SPA,4C/10A,33.402,82.539,2025/4/21,PP,2025,0SpA,
SPB,4D/WB,35.74,88.31,2025/4/21,PP,2025,0SPB,
Nature Trail -Restoration,Restored - NT Head,2.775,6.858,2025/4/23,PP,2025,.,
N4C,N4C,.,.,2025/11/5,PP,2025,N04C,east 1/2; new fireguard split n4c 2023
FA,FA,11.089,27.401,2025/11/13,PP,2025,00FA,
FB,FB,10.631,26.27,2025/11/13,PP,2025,00FB,
WA,WA,11.62,28.72,2026/2/12,PP,2026,00WA,
WB,WB,12.33,30.46,2026/2/12,PP,2026,00WB,
HQA,HQA,12.28,30.344,2026/3/5,PP,2026,0HQA,
Belowground Plots,Belowground Plots,1.45,3.58,2026/3/9,PP,2026,LTERBG,
HQC,HQC,17.483,43.201,2026/3/9,PP,2026,0HQC,
HQD,HQD,28.25,69.807,2026/3/9,PP,2026,0HQD,
N2A,N2A,101.215,250.107,2026/3/9,PP,2026,N02A,
N4C,N4C,.,.,2026/3/9,PP,2026,N04C,west 1/2
WN2A,.,8.9,22,2026/3/9,PP,2026,WN02A,Strip west of N2A
N1B,N1B,120.683,298.214,2026/3/10,PP,2026,N01B,
C1SB,Texas Hog Pasture,76.36,188.69,2026/3/13,PP,2026,C1SB,
K1A,K1A,113.89,281.428,2026/3/13,PP,2026,K01A,
N1A,N1A,33.83,83.596,2026/3/19,PP,2026,N01ANE,NEN1A
N1A,N1A,60.03,148.322,2026/3/19,PP,2026,N01ASW,SWN1A
N20A,N20A,82.98,205.048,2026/3/19,PP,2026,N20A,
N20B,N20B,84.364,208.467,2026/3/19,PP,2026,N20B,
ALC,AL,22,54.36,2026/3/21,PP,2026,0ALC,
ALD,Brome field S of K1,19.54,48.29,2026/3/21,PP,2026,0ALD,
C1A,C1A,93.78,231.73,2026/3/23,PP,2026,C01A,
C3A,C3A,48.728,120.41,2026/3/23,PP,2026,C03A,
C3B,C3B,66.59,164.547,2026/3/23,PP,2026,C03B,
C3C,C3C,102.423,253.093,2026/3/23,PP,2026,C03C,
C3SA,SA,102.076,252.235,2026/3/23,PP,2026,C3SA,
C3SB,SB,226.265,559.112,2026/3/23,PP,2026,C3SB,
C3SC,SC,127.02,313.873,2026/3/23,PP,2026,C3SC,
R1B,20D/4H,39.797,98.34,2026/3/23,PP,2026,R01B,
ALE,Brome field N of K4A,35.38,87.42,2026/3/24,PP,2026,0ALE,
K20A,K20A,83.13,205.418,2026/3/24,PP,2026,K20A,
HQB,HQB,14.92,36.868,2026/4/6,PP,2026,0HQB,
Nature Trail,Nature Trail,72.84,180,2026/4/6,PP,2026,NATR,
Nature Trail - North Hill,Nature Trail,33.076,81.732,2026/4/6,PP,2026,NATR,Nature trail area north of K1A
Nature Trail -Restoration,Restored - NT Head,2.775,6.858,2026/4/6,PP,2026,.,
WN4A,.,5.3,13,2026/4/6,PP,2026,WN04A,Strip west of N4A
1B,1B/WA,35.89,88.69,2026/4/14,WP,2026,001B,
1D,1D,41.55,102.67,2026/4/14,WP,2026,001D,
20C,20C/3B3UD,36.07,89.13,2026/4/14,WP,2026,020C,
2A,2A,28.3,69.94,2026/4/14,WP,2026,002A,
2B,2B/10B,14.4,35.59,2026/4/14,WP,2026,002B,
2D,2D,48.41,119.62,2026/4/14,WU,2026,002D,
4A,4A,18.84,46.56,2026/4/14,WP,2026,004A,
4B,4B,54.5,134.67,2026/4/14,WU,2026,004B,
R1A,20A/3B3UA,48.66,120.241,2026/4/14,WP,2026,R01A,
R20A,1A,26.332,65.068,2026/4/14,WP,2026,R20A,
SPA,4C/10A,33.402,82.539,2026/4/14,WP,2026,0SpA,
SPB,4D/WB,35.74,88.31,2026/4/14,WP,2026,0SPB,
SuA,10C/3U3BC,22.86,56.488,2026/4/14,WU,2026,0SuA,east 80%
HQE,HQE,8.094,20,2026/4/16,PP,2026,0HQE,
Hulbert Restoration,HQ Restoration Plots,5.718,14.129,2026/4/16,PP,2026,0HQR,Restored Field below Hulbert Center
K1B,K1B/K4B,181.26,447.9,2026/4/16,PP,2026,K01B,
K2A,K2A,66.1,163.336,2026/4/16,PP,2026,K02A,
R20B,1C,12.315,30.431,2026/4/16,PP,2026,R20B,
