Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
N4A,N4A,99.196,245.118,1984/4/18,PP,1984,N04A,
2D,2D,48.41,119.62,1984/4/19,PP,1984,002D,
1D,1D,41.55,102.67,1984/4/19,PP,1984,001D,
20C,3B3UD,5.7,14.09,1984/4/19,PP,1984,033D,
R20B,1C,12.315,30.431,1984/4/19,PP,1984,001C,
N1A,N1A,60,148,1984/4/19,PP,1984,N01ASW,
WB,4G,12.33,30.46,1984/4/19,PP,1984,004G,
1B,1B,12.01,29.69,1984/4/28,PP,1984,001B,
2B,2B,6.08,15.02,1984/4/28,PP,1984,002B,
N1A,N1A,34,84,1984/4/28,PP,1984,N01ANE,
R20A,1A,26.332,65.068,1984/4/28,PP,1984,001A,
HQB,unassigned ,6.808,16.823,1984/5/4,PP,1984,N/A,
C3B,C1B,1,1,1984/9/23,WU,1984,C01B,
HQB,unassigned ,14.92,36.868,1985/4/9,PP,1985,N/A,
HQA,unassigned ,12.28,30.344,1985/4/9,PP,1985,N/A,
N2A,N2A,101.215,250.107,1985/4/11,PP,1985,N02A,
N1A,N1A,60,148,1985/4/11,PP,1985,N01ASW,
HQC,unassigned ,17.483,43.201,1985/4/11,PP,1985,N/A,
HQD,HQC,28.25,69.807,1985/4/11,PP,1985,0HQC,
N1A,N1A,34,84,1985/4/15,PP,1985,N01ANE,
K1B,K4B,7.524,18.592,1985/4/15,PP,1985,K04B,
K2A,K2A,12.217,30.19,1985/4/15,PP,1985,K02A,
K4A,K4A,53.161,131.363,1985/4/15,PP,1985,K04A,
N4B,N4B,56.775,140.293,1985/4/15,PP,1985,N04B,
Nature Trail,unassigned ,96.042,237.325,1985/4/15,PP,1985,N/A,
AL,K4A,41.61,102.81,1985/4/15,PP,1985,K04A,
C1SB,Texas Hog Pasture,69.81,172.51,1985/4/15,PP,1985,N/A,
K1A,K1A,113.89,281.428,1985/4/15,PP,1985,K01A,
C3SB,unassigned ,1.963,4.851,1985/4/15,PP,1985,N/A,
R20A,1A,26.332,65.068,1985/4/16,PP,1985,001A,
K20A,KUA,53.681,132.648,1985/4/16,WU,1985,K20A,
R1A,3B3UA,29.124,71.966,1985/4/16,PP,1985,033A,
2A,2A,27.96,69.1,1985/4/16,PP,1985,002A,
SpB,pre-1988 WB,15.374,37.989,1985/4/24,PP,1985,099B,
SpA,4C,8.818,21.791,1985/4/24,PP,1985,004C,
R20B,1C,12.315,30.431,1985/4/24,PP,1985,001C,
1B,1B,12.01,29.69,1985/4/24,PP,1985,001B,
1B,pre-1988 WA,23.88,59,1985/4/24,PP,1985,099A,
2C,2C,22.95,56.72,1985/4/24,PP,1985,002C,
20C,3B3UD,5.7,14.09,1985/5/2,PP,1985,033D,
1D,1D,41.55,102.67,1985/5/2,PP,1985,001D,
4F,4F,16.37,40.44,1985/5/2,PP,1985,004F,
FB,WC,11.181,27.628,1985/5/2,PP,1985,099C,
N4C,N4C,4,10,1986/3/17,WP,1986,N04C,
2B,2B,6.08,15.02,1986/4/8,PP,1986,002B,
SpB,10B,8.21,20.287,1986/4/8,PP,1986,010B,
2D,2D,48.41,119.62,1986/4/9,PP,1986,002D,
1D,1D,41.55,102.67,1986/4/9,PP,1986,001D,
20C,3B3UD,5.7,14.09,1986/4/9,PP,1986,033D,
R20B,1C,12.315,30.431,1986/4/9,PP,1986,001C,
R1B,4H,3.38,8.352,1986/4/9,PP,1986,004H,
K1A,K1A,113.89,281.428,1986/4/10,PP,1986,K01A,
C1SB,Texas Hog Pasture,69.81,172.51,1986/4/10,PP,1986,N/A,
Nature Trail,unassigned ,101.87,251.726,1986/4/10,PP,1986,N/A,
HQA,unassigned ,12.28,30.344,1986/4/11,PP,1986,N/A,
FB,WC,11.18,27.626,1986/4/11,PP,1986,099C,
HQC,unassigned ,17.483,43.201,1986/4/11,PP,1986,N/A,
HQB,unassigned ,14.919,36.866,1986/4/11,PP,1986,N/A,
4F,4F,1.346,3.326,1986/4/11,WU,1986,004F,
SuB,10D,15.63,38.62,1986/4/11,PP,1986,010D,
C3SB,unassigned ,226.265,559.112,1986/4/16,PP,1986,N/A,
C3SC,unassigned ,127.02,313.873,1986/4/16,PP,1986,N/A,
C3SA,unassigned ,102.076,252.235,1986/4/16,PP,1986,N/A,
R1A,3B3UA,29.124,71.966,1986/4/16,PP,1986,033A,
SpB,4D,20.37,50.33,1986/4/16,PP,1986,004D,
SpB,pre-1988 WB,15.37,37.98,1986/4/16,PP,1986,099B,
White Pasture,White Pasture,122.23,302.03,1986/4/16,PP,1986,WHIT,
N4C,N4C,77.842,192.351,1986/4/22,PP,1986,N04C,
N1A,N1A,93.855,231.92,1986/4/22,PP,1986,N01A,
HQD,HQC,28.25,69.807,1986/5/1,PP,1986,0HQC,
1B,1B,12.01,29.69,1986/5/1,PP,1986,001B,
1B,pre-1988 WA,23.88,59,1986/5/1,PP,1986,099A,
R20A,1A,26.332,65.068,1986/5/1,PP,1986,001A,
SuA,3U3BC,11.8,29.17,1987/4/6,PP,1987,033C,
SpB,pre-1988 WB,15.37,37.98,1987/4/7,PP,1987,099B,
R20B,1C,12.315,30.431,1987/4/7,PP,1987,001C,
2C,2C,22.95,56.72,1987/4/7,PP,1987,002C,
FA,4E,11.09,27.404,1987/4/7,PP,1987,004E,
R20A,1A,26.332,65.068,1987/4/8,PP,1987,001A,
WA,3U3BB,11.622,28.719,1987/4/8,PP,1987,033B,
2A,2A,27.96,69.1,1987/4/8,PP,1987,002A,
1B,1B,12.01,29.69,1987/4/8,PP,1987,001B,
1B,pre-1988 WA,23.88,59,1987/4/8,PP,1987,099A,
FB,WC,11.18,27.626,1987/4/8,PP,1987,099C,
4B,4B,54.5,134.67,1987/4/8,PP,1987,004B,
1D,1D,41.55,102.67,1987/4/9,PP,1987,001D,
Belowground Plots,Belowground Plots,1.45,3.58,1987/4/10,PP,1987,LTERBG,
N2A,N2A,101.215,250.107,1987/4/23,PP,1987,N2A,
White Pasture,White Pasture,166.82,412.22,1987/4/24,PP,1987,WHIT,
AL,unassigned ,6.209,15.34,1987/4/24,PP,1987,N/A,
C3SC,unassigned ,66.115,163.373,1987/4/24,PP,1987,N/A,
HQA,HQA,12.28,30.344,1988/4/4,PP,1988,0HQA,
HQB,HQB,14.92,36.868,1988/4/4,PP,1988,0HQB,
N1A,N1A,93.855,231.92,1988/4/4,PP,1988,N01A,
WB,4G,12.33,30.46,1988/4/5,PP,1988,004G,
4A,4A,18.84,46.56,1988/4/6,PP,1988,004A,
2D,2D,48.41,119.62,1988/4/7,PP,1988,002D,
1D,1D,41.55,102.67,1988/4/7,PP,1988,001D,
R20B,1C,12.315,30.431,1988/4/7,PP,1988,001C,
WA,3U3BB,11.622,28.719,1988/4/7,PP,1988,033B,
N4A,N4A,99.196,245.118,1988/4/11,PP,1988,N04A,
K1A,K1A ,113.89,281.428,1988/4/12,PP,1988,K01A,
AL,AL,5.34,13.2,1988/4/12,PP,1988,AL,
C1SB,Texas Hog Pasture,69.81,172.51,1988/4/12,PP,1988,TXHO,
Nature Trail,Nature Trail,101.87,251.726,1988/4/12,PP,1988,NATR,
K2A,K2A,66.1,163.336,1988/4/12,PP,1988,K02A,
K1B,K1B,105.138,259.801,1988/4/12,PP,1988,K01B,
K1B,K4B,76.118,188.092,1988/4/12,PP,1988,K04B,
N4D,N4D,135.45,334.704,1988/4/13,PP,1988,N04D,
N2B,N2B,118.78,293.511,1988/4/13,PP,1988,N02B,
N1B,N1B,120.68,298.206,1988/4/13,PP,1988,N01B,
C3B,C1B,20,50,1988/4/14,PP,1988,C01B,
C3C,C1B,101.55,250.935,1988/4/14,PP,1988,C01A,
Belowground Plots,Belowground Plots,1.45,3.58,1988/4/14,PP,1988,LTERBG,
C1A,C4B,93.78,231.73,1988/4/14,PP,1988,C02B,
SuA,3U3BC,11.8,29.17,1988/4/15,PP,1988,033C,
2B,2B,6.08,15.02,1988/4/19,PP,1988,002B,
1B,1B/WA,35.89,88.69,1988/4/20,PP,1988,001B,
R20A,1A,26.332,65.068,1988/4/20,PP,1988,001A,
FB,WC,11,28,1988/11/10,PP,1988,099C,
N1B,N1B,120.68,298.206,1989/4/5,PP,1989,N01B,
N4B,N4B,56.775,140.293,1989/4/5,PP,1989,N04B,
4F,4F,16.37,40.44,1989/4/7,PP,1989,004F,
HQD,HQC,28.25,69.807,1989/4/7,PP,1989,0HQC,
HQB,HQB,14.92,36.868,1989/4/7,PP,1989,0HQB,
HQC,HQC,17.483,43.201,1989/4/7,PP,1989,0HQC,
HQA,HQA,12.28,30.344,1989/4/7,PP,1989,0HQA,
K4A,K4A,53.16,131.361,1989/4/10,PP,1989,K04A,
N1A,N1A,93.855,231.92,1989/4/10,PP,1989,N01A,
N20A,N20A,82.98,205.048,1989/4/10,PP,1989,N20A,
K1A,K1A,113.89,281.428,1989/4/10,PP,1989,K01A,
R20A,1A,26.332,65.068,1989/4/11,PP,1989,001A,
WA,3U3BB,11.622,28.719,1989/4/11,PP,1989,033B,
SpA,4C,8.818,21.791,1989/4/11,PP,1989,004C,
2A,2A,27.96,69.1,1989/4/11,PP,1989,002A,
1B,1B/WA,35.89,88.69,1989/4/11,PP,1989,001B,
2C,2C,22.95,56.72,1989/4/11,PP,1989,002C,
SuA,3U3BC,11.8,29.17,1989/4/12,PP,1989,033C,
R20B,1C,12.315,30.431,1989/4/12,PP,1989,001C,
1D,1D,41.55,102.67,1989/4/12,PP,1989,001D,
K1B,K1B,105.138,259.801,1989/4/13,PP,1989,K01B,
N2A,N2A,101.215,250.107,1989/4/13,PP,1989,N02A,
2D,2D,3.78,9.341,1989/4/14,PP,1989,002D,
C3SB,S3B,1.95,4.819,1989/4/14,PP,1989,S03B,
C3A,C4A,1,1,1989/4/14,PP,1989,C04A,
C3C,C1B,101.55,250.935,1989/4/17,PP,1989,C01A,
C3B,C4A,53.239,131.556,1989/4/17,PP,1989,C02A,
C3A,C4A,24.223,59.856,1989/4/17,PP,1989,C02A,
C3SC,S3C,127.02,313.873,1989/4/18,PP,1989,S03C,
Belowground Plots,Belowground Plots,1.45,3.58,1989/4/19,PP,1989,LTERBG,
AL,AL,23.28,57.53,1989/4/27,PP,1989,AL,
FB,WC,11.181,27.628,1989/11/10,PP,1989,099C,
1B,1B/WA,35.89,88.69,1990/4/3,PP,1990,001B,
R1A,3B3UA,29.124,71.966,1990/4/3,PP,1990,033A,
R20A,1A,26.332,65.068,1990/4/3,PP,1990,001A,
K1A,K1A,113.89,281.428,1990/4/4,PP,1990,K01A,
C1SB,Texas Hog Pasture,69.81,172.51,1990/4/4,PP,1990,TXHO,
Nature Trail,Nature Trail,101.87,251.726,1990/4/4,PP,1990,NATR,
N2B,N2B,118.781,293.514,1990/4/6,PP,1990,N02B,
N1B,N1B,120.683,298.214,1990/4/6,PP,1990,N01B,
